id,name,variant,course,category,ingredients,description,price,calories,country_origin,availability
165,Coulant au caramel,Classique,Dessert,Vegan,"chocolat noir, œufs, sucre",Recette maison inspirée des saveurs de Espagne.,13.42,229,Espagne,Épuisé
166,Tiramisu,Chef's Special,Dessert,Gourmet,"chocolat noir, œufs, sucre",Recette maison inspirée des saveurs de Suisse.,14.96,221,Suisse,Épuisé
167,Coulant au caramel,Signature,Dessert,Vegan,"fraise, mascarpone, biscuits",Coulant au caramel dessert préparé(e) selon une recette traditionnelle de Espagne.,13.41,375,Espagne,Non disponible
168,Crème brûlée,Maison,Dessert,Classique,"citron, sucre, meringue",Recette maison inspirée des saveurs de Italie.,14.29,281,Italie,Épuisé
169,Fondant au chocolat,Végétarienne,Dessert,Sans gluten,"crème, vanille, œufs",Une spécialité maroc mettant en valeur des ingrédients frais et de qualité.,8.79,248,Maroc,Non disponible
170,Sorbet citron,Légère,Dessert,Vegan,"citron, sucre, meringue",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,8.98,272,Tunisie,Épuisé
171,Tiramisu,Légère,Dessert,Végétarien,"citron, sucre, meringue",Une spécialité espagne mettant en valeur des ingrédients frais et de qualité.,14.71,368,Espagne,Disponible
172,Sorbet citron,Chef's Special,Dessert,Gourmet,"fraise, mascarpone, biscuits",Sorbet citron dessert préparé(e) selon une recette traditionnelle de Grèce.,12.35,292,Grèce,Disponible
173,Fondant au chocolat,Traditionnelle,Dessert,Végétarien,"pommes, sucre, pâte feuilletée, beurre",Fondant au chocolat dessert préparé(e) selon une recette traditionnelle de Italie.,11.55,251,Italie,Non disponible
174,Île flottante,Classique,Dessert,Gourmet,"caramel, lait, beurre",Version gourmande du classique Île flottante.,12.52,283,Tunisie,Disponible
175,Tarte aux fraises,Maison,Dessert,Gourmet,"chocolat noir, œufs, sucre",Une spécialité maroc mettant en valeur des ingrédients frais et de qualité.,16.12,321,Maroc,Épuisé
176,Jus de pomme bio,Végétarienne,Boisson,Gourmet,poudre de cacao,Version gourmande du classique Jus de pomme bio.,5.91,250,Suisse,Épuisé
177,Smoothie banane-fraise,Épicée,Boisson,Gourmet,poudre de cacao,Une spécialité espagne mettant en valeur des ingrédients frais et de qualité.,10.22,178,Espagne,Non disponible
178,Cappuccino,Maison,Boisson,Végétarien,"thé vert, menthe",Cappuccino boisson préparé(e) selon une recette traditionnelle de Suisse.,9.13,145,Suisse,Non disponible
179,Café expresso,Chef's Special,Boisson,Vegan,"thé vert, menthe",Recette maison inspirée des saveurs de France.,11.24,87,France,Épuisé
180,Café expresso,Signature,Boisson,Sans gluten,oranges fraîches,Café expresso boisson préparé(e) selon une recette traditionnelle de Tunisie.,7.17,145,Tunisie,Disponible
181,Cappuccino,Chef's Special,Boisson,Vegan,oranges fraîches,Cappuccino boisson préparé(e) selon une recette traditionnelle de Italie.,10.71,216,Italie,Épuisé
182,Thé à la menthe,Maison,Boisson,Classique,poudre de cacao,Recette maison inspirée des saveurs de Tunisie.,7.59,51,Tunisie,Disponible
183,Jus d’orange pressé,Végétarienne,Boisson,Végétarien,"thé vert, menthe",Jus d’orange pressé boisson préparé(e) selon une recette traditionnelle de Suisse.,10.21,110,Suisse,Épuisé
184,Café expresso,Classique,Boisson,Végétarien,poudre de cacao,Café expresso boisson préparé(e) selon une recette traditionnelle de Maroc.,10.69,177,Maroc,Non disponible
185,Soda artisanal,Classique,Boisson,Gourmet,"banane, fraise, lait",Une spécialité espagne mettant en valeur des ingrédients frais et de qualité.,7.43,207,Espagne,Épuisé
186,Smoothie banane-fraise,Légère,Boisson,Végétarien,café moulu,Smoothie banane-fraise boisson préparé(e) selon une recette traditionnelle de Grèce.,11.63,189,Grèce,Non disponible
187,Soda artisanal,Classique,Boisson,Sans gluten,poudre de cacao,Recette maison inspirée des saveurs de Suisse.,11.85,114,Suisse,Non disponible
188,Jus d’orange pressé,Épicée,Boisson,Classique,"banane, fraise, lait",Version raffinée du classique Jus d’orange pressé.,9.88,135,Tunisie,Disponible
189,Jus d’orange pressé,Épicée,Boisson,Épicé,"thé vert, menthe",Recette maison inspirée des saveurs de Tunisie.,9.05,84,Tunisie,Disponible
190,Chocolat chaud,Traditionnelle,Boisson,Classique,"banane, fraise, lait",Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,11.09,130,Tunisie,Épuisé
191,Soda artisanal,Légère,Boisson,Épicé,eau gazeuse,Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,6.29,249,Maroc,Disponible
192,Milkshake vanille,Épicée,Boisson,Vegan,"citron, sucre, eau",Recette maison inspirée des saveurs de France.,9.95,148,France,Épuisé
193,Thé à la menthe,Traditionnelle,Boisson,Gourmet,"citron, sucre, eau",Thé à la menthe boisson préparé(e) selon une recette traditionnelle de Maroc.,9.82,70,Maroc,Épuisé
194,Jus de pomme bio,Maison,Boisson,Épicé,"citron, sucre, eau",Jus de pomme bio boisson préparé(e) selon une recette traditionnelle de Tunisie.,6.62,125,Tunisie,Épuisé
195,Jus de mangue,Légère,Boisson,Végétarien,poudre de cacao,Recette maison inspirée des saveurs de Grèce.,4.34,140,Grèce,Non disponible
196,Cappuccino,Végétarienne,Boisson,Gourmet,oranges fraîches,Recette maison inspirée des saveurs de Suisse.,6.91,241,Suisse,Non disponible
197,Thé à la menthe,Classique,Boisson,Végétarien,poudre de cacao,Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,4.54,249,Suisse,Non disponible
198,Limonade maison,Épicée,Boisson,Sans gluten,oranges fraîches,Recette maison inspirée des saveurs de Espagne.,11.59,145,Espagne,Épuisé
199,Café expresso,Maison,Boisson,Épicé,"lait, vanille",Une spécialité tunisie mettant en valeur des ingrédients frais et de qualité.,6.0,79,Tunisie,Disponible
200,Chocolat chaud,Maison,Boisson,Sans gluten,"lait, vanille",Une spécialité espagne mettant en valeur des ingrédients frais et de qualité.,10.2,230,Espagne,Épuisé
201,Smoothie banane-fraise,Végétarienne,Boisson,Gourmet,"banane, fraise, lait",Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,10.82,165,Maroc,Disponible
202,Chocolat chaud,Traditionnelle,Boisson,Classique,"citron, sucre, eau",Chocolat chaud boisson préparé(e) selon une recette traditionnelle de Suisse.,8.4,124,Suisse,Épuisé
203,Thé à la menthe,Maison,Boisson,Vegan,"banane, fraise, lait",Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,10.34,110,Espagne,Épuisé
204,Jus d’orange pressé,Épicée,Boisson,Épicé,"citron, sucre, eau",Version moderne du classique Jus d’orange pressé.,5.04,72,Espagne,Disponible
205,Eau minérale,Légère,Boisson,Gourmet,poudre de cacao,Recette maison inspirée des saveurs de Grèce.,10.59,68,Grèce,Disponible
206,Limonade maison,Chef's Special,Boisson,Sans gluten,"citron, sucre, eau",Version gourmande du classique Limonade maison.,9.12,96,Maroc,Disponible
207,Cappuccino,Classique,Boisson,Classique,"thé vert, menthe",Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,5.3,231,Espagne,Disponible
208,Limonade maison,Végétarienne,Boisson,Classique,"banane, fraise, lait",Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,9.0,207,Tunisie,Non disponible
209,Café expresso,Maison,Boisson,Épicé,"thé vert, menthe",Version gourmande du classique Café expresso.,9.77,204,Espagne,Épuisé
210,Jus de pomme bio,Classique,Boisson,Classique,oranges fraîches,Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,10.14,156,France,Non disponible
211,Milkshake vanille,Classique,Boisson,Sans gluten,eau gazeuse,Recette maison inspirée des saveurs de Grèce.,5.96,225,Grèce,Épuisé
212,Eau minérale,Traditionnelle,Boisson,Classique,oranges fraîches,Recette maison inspirée des saveurs de Grèce.,7.32,168,Grèce,Disponible
213,Limonade maison,Maison,Boisson,Vegan,"citron, sucre, eau",Recette maison inspirée des saveurs de Suisse.,5.05,144,Suisse,Non disponible
214,Soda artisanal,Chef's Special,Boisson,Vegan,poudre de cacao,Une spécialité italie mettant en valeur des ingrédients frais et de qualité.,7.6,86,Italie,Disponible
215,Jus d’orange pressé,Végétarienne,Boisson,Sans gluten,"lait, vanille",Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,10.51,197,Suisse,Non disponible
216,Limonade maison,Signature,Boisson,Végétarien,poudre de cacao,Une spécialité maroc mettant en valeur des ingrédients frais et de qualité.,7.98,73,Maroc,Épuisé
217,Soda artisanal,Traditionnelle,Boisson,Végétarien,"citron, sucre, eau",Soda artisanal boisson préparé(e) selon une recette traditionnelle de Italie.,6.25,202,Italie,Non disponible
218,Milkshake vanille,Traditionnelle,Boisson,Vegan,oranges fraîches,Recette maison inspirée des saveurs de Espagne.,5.07,117,Espagne,Non disponible
219,Limonade maison,Légère,Boisson,Vegan,"lait, vanille",Version raffinée du classique Limonade maison.,8.49,142,France,Non disponible
220,Eau minérale,Chef's Special,Boisson,Sans gluten,poudre de cacao,Version équilibrée du classique Eau minérale.,9.44,80,Espagne,Disponible
221,Café expresso,Légère,Boisson,Vegan,"citron, sucre, eau",Un(e) boisson populaire apprécié(e) pour sa saveur authentique.,5.59,180,Suisse,Épuisé
222,Soda artisanal,Classique,Boisson,Classique,"thé vert, menthe",Recette maison inspirée des saveurs de France.,8.15,88,France,Non disponible
223,Soda artisanal,Maison,Boisson,Vegan,"citron, sucre, eau",Recette maison inspirée des saveurs de Espagne.,11.92,239,Espagne,Épuisé
224,Jus de pomme bio,Épicée,Boisson,Épicé,poudre de cacao,Recette maison inspirée des saveurs de Suisse.,10.53,144,Suisse,Épuisé
225,Milkshake vanille,Chef's Special,Boisson,Sans gluten,eau gazeuse,Version raffinée du classique Milkshake vanille.,7.8,217,Espagne,Non disponible
